payment_id,user_id,biller_code,biller_name,pay_amount,currency_code,payment_date,payment_status,bill_category,account_number
BILL-00021,CUST-1058,INS-001,Tawuniya Insurance,24030.59,SAR,14/01/2025 17:22,success,insurance,92XXXXXXX8
BILL-00022,CUST-1199,SEC-002,Jeddah Electricity,1804.04,SAR,10/05/2025 03:47,success,utilities,37XXXXXXX5
BILL-00023,CUST-1085,GOV-003,Sadad Municipality,21999.47,SAR,30/04/2025 15:59,success,government,64XXXXXXX2
BILL-00024,CUST-1098,WAT-002,Jeddah Water,15770.43,SAR,28/01/2025 16:05,success,utilities,24XXXXXXX1
BILL-00025,CUST-1012,ZAI-001,Zain Telecom,12480.34,SAR,24/03/2025 08:41,success,telecom,49XXXXXXX6
BILL-00026,CUST-1172,STC-002,STC Fiber,1433.62,SAR,01/01/2025 23:17,success,telecom,54XXXXXXX2
BILL-00027,CUST-1033,INS-002,Bupa Arabia,5701.94,SAR,24/06/2025 06:32,failed,insurance,93XXXXXXX1
BILL-00028,CUST-1108,INS-001,Tawuniya Insurance,2411.46,SAR,16/05/2025 23:03,success,insurance,10XXXXXXX6
BILL-00029,CUST-1127,GOV-003,Sadad Municipality,24657.27,SAR,10/02/2025 10:15,success,government,31XXXXXXX9
BILL-00030,CUST-1163,VIS-001,MOI Traffic Fines,22673.92,SAR,13/05/2025 18:06,success,government,31XXXXXXX8
BILL-00031,CUST-1173,GOV-003,Sadad Municipality,19373.33,SAR,04/02/2025 18:08,failed,government,60XXXXXXX9
BILL-00032,CUST-1157,MOB-002,Mobily Fiber,7948.55,SAR,18/01/2025 06:03,success,telecom,19XXXXXXX6
BILL-00033,CUST-1172,EDU-001,KSU University,18997.33,SAR,10/02/2025 01:55,success,education,78XXXXXXX8
BILL-00034,CUST-1169,STC-001,STC Telecom,11125.71,SAR,28/03/2025 14:49,in_progress,telecom,87XXXXXXX4
BILL-00035,CUST-1025,GOV-002,MOI Passport Renewal,21531.36,SAR,28/02/2025 05:06,success,government,42XXXXXXX5
BILL-00036,CUST-1152,VIS-001,MOI Traffic Fines,9405.82,SAR,22/02/2025 11:03,success,government,50XXXXXXX7
BILL-00037,CUST-1163,EDU-001,KSU University,16736.57,SAR,18/04/2025 08:31,success,education,45XXXXXXX1
BILL-00038,CUST-1184,GOV-001,Absher Gov Services,19178.73,SAR,28/03/2025 18:01,success,government,95XXXXXXX2
BILL-00039,CUST-1116,SEC-002,Jeddah Electricity,16652.45,SAR,22/03/2025 09:30,success,utilities,77XXXXXXX6
BILL-00040,CUST-1166,STC-002,STC Fiber,1493.33,SAR,11/05/2025 20:37,success,telecom,24XXXXXXX9
BILL-00041,CUST-1090,WAT-001,National Water,16166.67,SAR,24/01/2025 00:39,success,utilities,13XXXXXXX4
BILL-00042,CUST-1168,GOV-004,GOSI Contributions,10878.20,SAR,26/01/2025 08:32,success,government,12XXXXXXX8
BILL-00043,CUST-1149,MOB-001,Mobily,6865.37,SAR,10/06/2025 21:53,success,telecom,57XXXXXXX7
BILL-00044,CUST-1020,EDU-002,KAUST Tuition,10219.35,SAR,20/03/2025 03:25,success,education,68XXXXXXX7
BILL-00045,CUST-1024,INS-002,Bupa Arabia,1388.44,SAR,22/02/2025 11:46,success,insurance,40XXXXXXX5
BILL-00046,CUST-1197,WAT-001,National Water,50.20,SAR,05/02/2025 23:52,success,utilities,60XXXXXXX6
BILL-00047,CUST-1117,GOV-003,Sadad Municipality,17367.28,SAR,31/03/2025 14:27,failed,government,57XXXXXXX7
BILL-00048,CUST-1198,GOV-003,Sadad Municipality,9084.77,SAR,30/03/2025 22:20,success,government,34XXXXXXX3
BILL-00049,CUST-1165,MOB-002,Mobily Fiber,12005.36,SAR,28/02/2025 10:06,success,telecom,20XXXXXXX1
BILL-00050,CUST-1001,INS-003,Medgulf Insurance,13003.31,SAR,30/04/2025 06:52,success,insurance,12XXXXXXX3
BILL-00051,CUST-1063,SEC-001,Saudi Electricity,15308.64,SAR,27/02/2025 15:57,success,utilities,64XXXXXXX3
BILL-00052,CUST-1080,MOB-002,Mobily Fiber,15920.79,SAR,17/06/2025 17:40,success,telecom,63XXXXXXX2
BILL-00053,CUST-1086,SEC-002,Jeddah Electricity,21247.86,SAR,24/06/2025 06:00,success,utilities,69XXXXXXX4
BILL-00054,CUST-1083,INS-001,Tawuniya Insurance,19406.33,SAR,19/06/2025 15:57,success,insurance,47XXXXXXX3
BILL-00055,CUST-1153,STC-001,STC Telecom,23774.71,SAR,18/05/2025 17:46,success,telecom,77XXXXXXX2
BILL-00056,CUST-1107,GOV-001,Absher Gov Services,14480.06,SAR,13/01/2025 02:51,success,government,83XXXXXXX7
BILL-00057,CUST-1091,SEC-001,Saudi Electricity,11988.10,SAR,16/06/2025 17:26,success,utilities,16XXXXXXX7
BILL-00058,CUST-1032,GOV-003,Sadad Municipality,15107.42,SAR,12/02/2025 18:27,success,government,65XXXXXXX8
BILL-00059,CUST-1085,VIS-001,MOI Traffic Fines,1488.63,SAR,23/01/2025 23:50,failed,government,25XXXXXXX8
BILL-00060,CUST-1147,MOB-002,Mobily Fiber,11090.55,SAR,25/03/2025 15:24,success,telecom,96XXXXXXX4
BILL-00061,CUST-1153,VIS-001,MOI Traffic Fines,24469.38,SAR,22/03/2025 01:57,success,government,66XXXXXXX1
BILL-00062,CUST-1160,GOV-003,Sadad Municipality,16835.66,SAR,17/04/2025 16:52,success,government,69XXXXXXX5
BILL-00063,CUST-1108,WAT-001,National Water,21578.36,SAR,30/01/2025 01:04,success,utilities,87XXXXXXX9
BILL-00064,CUST-1005,ZAI-002,Zain Fiber,16746.55,SAR,06/04/2025 03:58,success,telecom,79XXXXXXX9
BILL-00065,CUST-1183,MOB-002,Mobily Fiber,11321.66,SAR,20/04/2025 08:38,success,telecom,79XXXXXXX9
BILL-00066,CUST-1040,EDU-001,KSU University,19447.66,SAR,30/03/2025 09:42,success,education,54XXXXXXX7
BILL-00067,CUST-1190,GOV-003,Sadad Municipality,13458.84,SAR,25/03/2025 15:41,success,government,32XXXXXXX8
BILL-00068,CUST-1129,ZAI-001,Zain Telecom,23471.84,SAR,15/02/2025 12:04,success,telecom,11XXXXXXX1
BILL-00069,CUST-1183,STC-002,STC Fiber,1643.44,SAR,05/03/2025 00:03,success,telecom,42XXXXXXX8
BILL-00070,CUST-1152,WAT-002,Jeddah Water,423.48,SAR,07/06/2025 18:07,success,utilities,34XXXXXXX4
BILL-00071,CUST-1116,GOV-001,Absher Gov Services,18177.41,SAR,18/01/2025 01:24,success,government,18XXXXXXX6
BILL-00072,CUST-1115,ZAI-002,Zain Fiber,24177.38,SAR,23/02/2025 19:01,success,telecom,12XXXXXXX9
BILL-00073,CUST-1137,ZAI-001,Zain Telecom,23687.53,SAR,27/05/2025 02:09,success,telecom,61XXXXXXX5
BILL-00074,CUST-1165,MOB-001,Mobily,16026.80,SAR,29/03/2025 06:15,success,telecom,20XXXXXXX7
BILL-00075,CUST-1015,VIS-001,MOI Traffic Fines,6981.91,SAR,05/05/2025 06:02,failed,government,31XXXXXXX4
BILL-00076,CUST-1028,WAT-002,Jeddah Water,22660.31,SAR,21/03/2025 06:52,success,utilities,91XXXXXXX4
BILL-00077,CUST-1138,WAT-001,National Water,19912.76,SAR,23/01/2025 22:40,success,utilities,93XXXXXXX2
BILL-00078,CUST-1028,ZAI-002,Zain Fiber,18184.96,SAR,18/05/2025 16:56,success,telecom,40XXXXXXX7
BILL-00079,CUST-1006,STC-001,STC Telecom,6912.31,SAR,27/03/2025 11:00,success,telecom,86XXXXXXX1
BILL-00080,CUST-1111,GOV-002,MOI Passport Renewal,7053.52,SAR,20/02/2025 19:42,failed,government,17XXXXXXX6
BILL-00081,CUST-1140,WAT-001,National Water,8232.02,SAR,28/04/2025 10:47,success,utilities,38XXXXXXX5
BILL-00082,CUST-1127,GOV-004,GOSI Contributions,14126.72,SAR,19/01/2025 01:59,success,government,90XXXXXXX2
BILL-00083,CUST-1176,ZAI-001,Zain Telecom,10864.52,SAR,13/06/2025 11:17,success,telecom,78XXXXXXX1
BILL-00084,CUST-1160,ZAI-002,Zain Fiber,21101.16,SAR,24/03/2025 17:04,success,telecom,96XXXXXXX1
BILL-00085,CUST-1109,ZAI-002,Zain Fiber,1838.55,SAR,11/06/2025 16:10,success,telecom,47XXXXXXX5
BILL-00086,CUST-1110,INS-003,Medgulf Insurance,21780.39,SAR,17/03/2025 11:39,success,insurance,22XXXXXXX2
BILL-00087,CUST-1195,STC-002,STC Fiber,17128.78,SAR,12/06/2025 04:35,success,telecom,87XXXXXXX5
BILL-00088,CUST-1001,INS-003,Medgulf Insurance,22217.19,SAR,02/04/2025 00:43,success,insurance,16XXXXXXX9
BILL-00089,CUST-1088,ZAI-002,Zain Fiber,18607.33,SAR,08/03/2025 22:08,success,telecom,80XXXXXXX3
BILL-00090,CUST-1174,STC-001,STC Telecom,6392.26,SAR,06/05/2025 17:43,failed,telecom,71XXXXXXX8
BILL-00091,CUST-1176,VIS-001,MOI Traffic Fines,24374.87,SAR,04/03/2025 14:01,success,government,99XXXXXXX8
BILL-00092,CUST-1073,STC-001,STC Telecom,861.21,SAR,12/01/2025 09:39,success,telecom,35XXXXXXX2
BILL-00093,CUST-1017,ZAI-002,Zain Fiber,21624.55,SAR,18/01/2025 22:26,success,telecom,67XXXXXXX6
BILL-00094,CUST-1143,EDU-002,KAUST Tuition,10894.22,SAR,31/05/2025 03:15,success,education,29XXXXXXX5
BILL-00095,CUST-1078,STC-002,STC Fiber,10498.14,SAR,06/05/2025 07:10,success,telecom,22XXXXXXX5
BILL-00096,CUST-1089,ZAI-002,Zain Fiber,23306.79,SAR,05/02/2025 04:13,success,telecom,56XXXXXXX2
BILL-00097,CUST-1147,SEC-001,Saudi Electricity,2091.69,SAR,27/01/2025 11:08,success,utilities,61XXXXXXX4
BILL-00098,CUST-1068,EDU-002,KAUST Tuition,20880.64,SAR,29/01/2025 03:23,failed,education,66XXXXXXX8
BILL-00099,CUST-1195,MOB-002,Mobily Fiber,1395.26,SAR,05/03/2025 13:40,failed,telecom,83XXXXXXX5
BILL-00100,CUST-1043,INS-003,Medgulf Insurance,12666.20,SAR,15/02/2025 14:11,in_progress,insurance,88XXXXXXX6
BILL-00101,CUST-1095,EDU-001,KSU University,4982.71,SAR,24/02/2025 00:46,success,education,42XXXXXXX9
BILL-00102,CUST-1024,SEC-002,Jeddah Electricity,13076.62,SAR,01/01/2025 19:29,success,utilities,25XXXXXXX2
BILL-00103,CUST-1166,INS-002,Bupa Arabia,11945.27,SAR,27/04/2025 21:37,failed,insurance,45XXXXXXX2
BILL-00104,CUST-1095,MOB-001,Mobily,5287.76,SAR,16/04/2025 22:59,success,telecom,56XXXXXXX6
BILL-00105,CUST-1041,INS-001,Tawuniya Insurance,11777.04,SAR,03/01/2025 16:53,success,insurance,74XXXXXXX4
BILL-00106,CUST-1127,SEC-002,Jeddah Electricity,2957.23,SAR,04/03/2025 01:31,success,utilities,31XXXXXXX6
BILL-00107,CUST-1175,SEC-002,Jeddah Electricity,3701.50,SAR,15/02/2025 13:54,success,utilities,42XXXXXXX3
BILL-00108,CUST-1190,INS-001,Tawuniya Insurance,14234.23,SAR,04/06/2025 21:27,success,insurance,71XXXXXXX7
BILL-00109,CUST-1112,ZAI-001,Zain Telecom,13803.90,SAR,06/04/2025 07:26,success,telecom,35XXXXXXX4
BILL-00110,CUST-1005,STC-001,STC Telecom,10522.41,SAR,20/02/2025 07:09,in_progress,telecom,98XXXXXXX6
BILL-00111,CUST-1084,ZAI-002,Zain Fiber,1131.37,SAR,23/06/2025 10:51,success,telecom,49XXXXXXX9
BILL-00112,CUST-1157,GOV-002,MOI Passport Renewal,1065.64,SAR,16/06/2025 14:11,success,government,96XXXXXXX9
BILL-00113,CUST-1133,GOV-003,Sadad Municipality,4699.87,SAR,23/05/2025 15:48,success,government,54XXXXXXX9
BILL-00114,CUST-1192,ZAI-001,Zain Telecom,14424.09,SAR,18/06/2025 09:52,in_progress,telecom,67XXXXXXX1
BILL-00115,CUST-1110,ZAI-001,Zain Telecom,15760.16,SAR,12/03/2025 03:19,in_progress,telecom,74XXXXXXX8
BILL-00116,CUST-1056,GOV-003,Sadad Municipality,511.25,SAR,12/01/2025 17:53,success,government,57XXXXXXX6
BILL-00117,CUST-1035,GOV-001,Absher Gov Services,10466.18,SAR,27/05/2025 17:58,success,government,35XXXXXXX2
BILL-00118,CUST-1118,WAT-002,Jeddah Water,21233.51,SAR,13/01/2025 08:00,success,utilities,20XXXXXXX6
BILL-00119,CUST-1035,STC-002,STC Fiber,18687.94,SAR,31/05/2025 13:48,in_progress,telecom,37XXXXXXX5
BILL-00120,CUST-1025,GOV-002,MOI Passport Renewal,23431.85,SAR,28/03/2025 04:23,in_progress,government,71XXXXXXX6
BILL-00121,CUST-1098,GOV-004,GOSI Contributions,12745.36,SAR,12/05/2025 04:44,in_progress,government,63XXXXXXX4
BILL-00122,CUST-1125,WAT-001,National Water,5928.33,SAR,27/03/2025 08:35,success,utilities,85XXXXXXX9
BILL-00123,CUST-1003,ZAI-002,Zain Fiber,799.84,SAR,07/06/2025 01:13,success,telecom,98XXXXXXX6
BILL-00124,CUST-1130,ZAI-001,Zain Telecom,13502.12,SAR,24/04/2025 06:29,success,telecom,80XXXXXXX2
BILL-00125,CUST-1181,GOV-001,Absher Gov Services,16376.55,SAR,31/05/2025 19:15,success,government,38XXXXXXX7
BILL-00126,CUST-1116,WAT-002,Jeddah Water,21129.82,SAR,28/05/2025 11:22,in_progress,utilities,92XXXXXXX8
BILL-00127,CUST-1100,EDU-001,KSU University,20165.74,SAR,06/03/2025 12:02,success,education,24XXXXXXX3
BILL-00128,CUST-1084,GOV-003,Sadad Municipality,3888.31,SAR,02/02/2025 19:44,success,government,29XXXXXXX1
BILL-00129,CUST-1169,INS-001,Tawuniya Insurance,19628.53,SAR,30/05/2025 19:57,failed,insurance,62XXXXXXX5
BILL-00130,CUST-1069,GOV-001,Absher Gov Services,14712.46,SAR,14/05/2025 10:40,success,government,59XXXXXXX2
BILL-00131,CUST-1133,SEC-001,Saudi Electricity,11203.01,SAR,19/04/2025 13:07,success,utilities,96XXXXXXX7
BILL-00132,CUST-1187,INS-003,Medgulf Insurance,14268.27,SAR,04/06/2025 20:22,success,insurance,93XXXXXXX4
BILL-00133,CUST-1154,EDU-001,KSU University,8513.23,SAR,08/01/2025 04:08,success,education,59XXXXXXX9
BILL-00134,CUST-1133,GOV-001,Absher Gov Services,15418.41,SAR,14/01/2025 17:02,success,government,58XXXXXXX3
BILL-00135,CUST-1133,GOV-003,Sadad Municipality,392.37,SAR,15/05/2025 18:21,success,government,33XXXXXXX8
BILL-00136,CUST-1096,MOB-002,Mobily Fiber,19879.94,SAR,21/01/2025 13:06,success,telecom,17XXXXXXX4
BILL-00137,CUST-1167,INS-001,Tawuniya Insurance,15858.58,SAR,11/03/2025 23:05,failed,insurance,58XXXXXXX6
BILL-00138,CUST-1167,INS-003,Medgulf Insurance,22825.07,SAR,03/03/2025 08:33,failed,insurance,90XXXXXXX1
BILL-00139,CUST-1149,GOV-003,Sadad Municipality,15347.19,SAR,15/01/2025 05:41,success,government,27XXXXXXX4
BILL-00140,CUST-1044,GOV-004,GOSI Contributions,13229.23,SAR,30/04/2025 07:33,failed,government,84XXXXXXX1
BILL-00141,CUST-1141,ZAI-002,Zain Fiber,18998.40,SAR,11/04/2025 18:40,success,telecom,59XXXXXXX1
BILL-00142,CUST-1018,WAT-001,National Water,22112.79,SAR,01/01/2025 16:53,success,utilities,68XXXXXXX2
BILL-00143,CUST-1153,ZAI-001,Zain Telecom,22854.32,SAR,09/02/2025 16:16,success,telecom,61XXXXXXX1
BILL-00144,CUST-1200,INS-003,Medgulf Insurance,12795.69,SAR,09/04/2025 13:33,success,insurance,93XXXXXXX6
BILL-00145,CUST-1170,ZAI-002,Zain Fiber,7172.95,SAR,01/06/2025 20:37,success,telecom,44XXXXXXX4
BILL-00146,CUST-1035,MOB-001,Mobily,21014.32,SAR,03/02/2025 17:54,success,telecom,65XXXXXXX8
BILL-00147,CUST-1107,INS-001,Tawuniya Insurance,21603.17,SAR,01/06/2025 17:18,failed,insurance,38XXXXXXX2
BILL-00148,CUST-1151,WAT-001,National Water,17106.62,SAR,08/04/2025 22:13,success,utilities,17XXXXXXX5
BILL-00149,CUST-1132,GOV-002,MOI Passport Renewal,17468.25,SAR,10/01/2025 01:26,success,government,85XXXXXXX8
BILL-00150,CUST-1125,INS-002,Bupa Arabia,23964.89,SAR,14/03/2025 23:21,success,insurance,75XXXXXXX5
BILL-00151,CUST-1031,GOV-004,GOSI Contributions,3060.19,SAR,28/05/2025 10:19,success,government,14XXXXXXX2
BILL-00152,CUST-1192,MOB-002,Mobily Fiber,6999.86,SAR,02/02/2025 06:13,failed,telecom,86XXXXXXX2
BILL-00153,CUST-1178,SEC-002,Jeddah Electricity,2642.30,SAR,31/01/2025 23:16,success,utilities,59XXXXXXX6
BILL-00154,CUST-1178,STC-002,STC Fiber,7746.51,SAR,02/01/2025 10:20,success,telecom,37XXXXXXX1
BILL-00155,CUST-1176,INS-001,Tawuniya Insurance,2694.53,SAR,15/01/2025 00:19,success,insurance,72XXXXXXX9
BILL-00156,CUST-1115,STC-001,STC Telecom,7727.79,SAR,17/05/2025 13:23,success,telecom,41XXXXXXX3
BILL-00157,CUST-1081,ZAI-002,Zain Fiber,13622.48,SAR,18/01/2025 20:14,success,telecom,20XXXXXXX9
BILL-00158,CUST-1157,ZAI-001,Zain Telecom,628.79,SAR,12/02/2025 10:57,success,telecom,13XXXXXXX5
BILL-00159,CUST-1098,WAT-002,Jeddah Water,3278.95,SAR,30/03/2025 01:35,success,utilities,31XXXXXXX7
BILL-00160,CUST-1142,VIS-001,MOI Traffic Fines,2595.49,SAR,22/04/2025 14:44,success,government,54XXXXXXX4
BILL-00161,CUST-1011,STC-001,STC Telecom,24339.98,SAR,10/06/2025 07:32,success,telecom,18XXXXXXX8
BILL-00162,CUST-1169,ZAI-001,Zain Telecom,18949.49,SAR,13/01/2025 12:17,success,telecom,38XXXXXXX7
BILL-00163,CUST-1044,GOV-001,Absher Gov Services,4894.33,SAR,07/05/2025 16:08,success,government,12XXXXXXX2
BILL-00164,CUST-1170,STC-002,STC Fiber,23875.87,SAR,04/02/2025 07:08,success,telecom,13XXXXXXX9
BILL-00165,CUST-1153,GOV-002,MOI Passport Renewal,147.01,SAR,18/06/2025 01:53,success,government,45XXXXXXX7
BILL-00166,CUST-1100,WAT-001,National Water,21636.02,SAR,15/02/2025 20:52,success,utilities,61XXXXXXX1
BILL-00167,CUST-1127,GOV-001,Absher Gov Services,22364.72,SAR,31/01/2025 10:21,success,government,14XXXXXXX5
BILL-00168,CUST-1013,VIS-001,MOI Traffic Fines,23899.21,SAR,02/01/2025 09:33,failed,government,65XXXXXXX4
BILL-00169,CUST-1176,WAT-002,Jeddah Water,5736.54,SAR,10/02/2025 03:48,success,utilities,56XXXXXXX1
BILL-00170,CUST-1103,ZAI-001,Zain Telecom,10544.79,SAR,05/03/2025 04:44,success,telecom,18XXXXXXX1
BILL-00171,CUST-1148,EDU-001,KSU University,9462.21,SAR,24/01/2025 04:59,success,education,72XXXXXXX4
BILL-00172,CUST-1093,WAT-001,National Water,20258.15,SAR,07/03/2025 14:51,success,utilities,22XXXXXXX4
BILL-00173,CUST-1169,GOV-001,Absher Gov Services,757.22,SAR,18/03/2025 20:35,success,government,66XXXXXXX4
BILL-00174,CUST-1151,GOV-001,Absher Gov Services,7353.08,SAR,01/01/2025 00:33,success,government,71XXXXXXX5
BILL-00175,CUST-1164,INS-001,Tawuniya Insurance,8465.74,SAR,03/05/2025 16:14,success,insurance,97XXXXXXX7
BILL-00176,CUST-1087,SEC-002,Jeddah Electricity,5931.62,SAR,10/01/2025 16:29,success,utilities,38XXXXXXX7
BILL-00177,CUST-1170,ZAI-002,Zain Fiber,23899.55,SAR,12/03/2025 06:35,success,telecom,71XXXXXXX5
BILL-00178,CUST-1057,EDU-002,KAUST Tuition,2551.95,SAR,04/03/2025 03:42,failed,education,74XXXXXXX1
BILL-00179,CUST-1003,STC-001,STC Telecom,19890.31,SAR,27/02/2025 22:51,success,telecom,23XXXXXXX7
BILL-00180,CUST-1175,GOV-003,Sadad Municipality,12216.36,SAR,09/01/2025 12:07,success,government,21XXXXXXX5
BILL-00181,CUST-1133,SEC-002,Jeddah Electricity,16218.43,SAR,22/02/2025 00:55,success,utilities,60XXXXXXX6
BILL-00182,CUST-1005,SEC-002,Jeddah Electricity,14449.20,SAR,30/05/2025 05:38,success,utilities,91XXXXXXX6
BILL-00183,CUST-1131,GOV-002,MOI Passport Renewal,9728.04,SAR,25/05/2025 06:06,success,government,46XXXXXXX3
BILL-00184,CUST-1026,ZAI-002,Zain Fiber,2661.13,SAR,06/05/2025 08:44,success,telecom,86XXXXXXX1
BILL-00185,CUST-1055,ZAI-001,Zain Telecom,79.71,SAR,14/03/2025 21:02,success,telecom,54XXXXXXX2
BILL-00186,CUST-1134,GOV-004,GOSI Contributions,23284.67,SAR,02/01/2025 08:27,success,government,61XXXXXXX1
BILL-00187,CUST-1029,MOB-002,Mobily Fiber,19146.78,SAR,07/01/2025 06:43,success,telecom,68XXXXXXX6
BILL-00188,CUST-1191,VIS-001,MOI Traffic Fines,23126.58,SAR,17/03/2025 16:59,success,government,69XXXXXXX8
BILL-00189,CUST-1091,STC-001,STC Telecom,7032.08,SAR,19/01/2025 06:44,failed,telecom,60XXXXXXX3
BILL-00190,CUST-1038,ZAI-002,Zain Fiber,15691.68,SAR,25/02/2025 02:29,success,telecom,35XXXXXXX7
BILL-00191,CUST-1109,GOV-004,GOSI Contributions,21997.03,SAR,19/06/2025 00:19,in_progress,government,91XXXXXXX9
BILL-00192,CUST-1164,MOB-002,Mobily Fiber,19619.98,SAR,01/02/2025 23:24,success,telecom,11XXXXXXX3
BILL-00193,CUST-1066,GOV-004,GOSI Contributions,24477.51,SAR,16/01/2025 14:22,success,government,13XXXXXXX4
BILL-00194,CUST-1173,INS-002,Bupa Arabia,5706.37,SAR,05/04/2025 17:42,success,insurance,58XXXXXXX5
BILL-00195,CUST-1065,GOV-002,MOI Passport Renewal,19635.24,SAR,21/05/2025 07:28,failed,government,70XXXXXXX2
BILL-00196,CUST-1150,STC-002,STC Fiber,23443.11,SAR,07/03/2025 11:04,success,telecom,37XXXXXXX2
BILL-00197,CUST-1094,VIS-001,MOI Traffic Fines,9220.87,SAR,03/01/2025 23:25,success,government,81XXXXXXX1
BILL-00198,CUST-1038,EDU-002,KAUST Tuition,22445.89,SAR,24/03/2025 19:46,success,education,84XXXXXXX6
BILL-00199,CUST-1121,INS-001,Tawuniya Insurance,24347.70,SAR,24/03/2025 11:21,success,insurance,42XXXXXXX3
BILL-00200,CUST-1177,GOV-001,Absher Gov Services,14847.74,SAR,09/02/2025 10:38,success,government,62XXXXXXX2
BILL-00201,CUST-1157,STC-001,STC Telecom,14148.18,SAR,31/01/2025 23:15,success,telecom,43XXXXXXX6
BILL-00202,CUST-1166,ZAI-002,Zain Fiber,2932.78,SAR,18/05/2025 19:44,success,telecom,65XXXXXXX5
BILL-00203,CUST-1011,GOV-001,Absher Gov Services,20905.07,SAR,23/03/2025 05:37,success,government,10XXXXXXX8
BILL-00204,CUST-1029,MOB-002,Mobily Fiber,1504.73,SAR,25/03/2025 02:07,success,telecom,11XXXXXXX3
BILL-00205,CUST-1093,ZAI-001,Zain Telecom,8407.26,SAR,26/06/2025 07:53,success,telecom,35XXXXXXX2
BILL-00206,CUST-1066,WAT-001,National Water,11266.42,SAR,06/02/2025 05:02,success,utilities,33XXXXXXX9
BILL-00207,CUST-1148,WAT-002,Jeddah Water,7496.74,SAR,14/01/2025 10:47,success,utilities,72XXXXXXX6
BILL-00208,CUST-1174,SEC-001,Saudi Electricity,2427.96,SAR,18/02/2025 00:36,success,utilities,67XXXXXXX1
BILL-00209,CUST-1198,GOV-004,GOSI Contributions,6722.35,SAR,01/02/2025 23:39,success,government,80XXXXXXX2
BILL-00210,CUST-1049,EDU-002,KAUST Tuition,5124.05,SAR,27/05/2025 15:13,success,education,88XXXXXXX7
BILL-00211,CUST-1162,MOB-001,Mobily,681.85,SAR,28/06/2025 02:15,success,telecom,79XXXXXXX3
BILL-00212,CUST-1109,WAT-002,Jeddah Water,10865.82,SAR,22/01/2025 04:23,success,utilities,27XXXXXXX1
BILL-00213,CUST-1073,GOV-003,Sadad Municipality,6962.47,SAR,21/03/2025 09:06,success,government,71XXXXXXX7
BILL-00214,CUST-1119,GOV-004,GOSI Contributions,20419.48,SAR,16/03/2025 06:10,success,government,31XXXXXXX6
BILL-00215,CUST-1143,EDU-001,KSU University,23044.32,SAR,12/01/2025 06:09,failed,education,97XXXXXXX2
BILL-00216,CUST-1079,SEC-002,Jeddah Electricity,19862.50,SAR,10/06/2025 19:34,success,utilities,83XXXXXXX3
BILL-00217,CUST-1120,STC-001,STC Telecom,22018.74,SAR,23/04/2025 10:06,success,telecom,31XXXXXXX9
