txn_id,card_number,customer_id,merchant_name,txn_amount,txn_currency,txn_timestamp,txn_status,card_type,mcc_code
TXN-00026,4532XXXX2982,CUST-1103,Tawuniya Insurance,13494.71,SAR,2025-03-29T16:04:40Z,approved,debit,6300
TXN-00027,4532XXXX4608,CUST-1017,Booking.com,8311.05,SAR,2025-04-25T06:19:46Z,approved,debit,7011
TXN-00028,4532XXXX6413,CUST-1182,Ceer Motors,1015.67,SAR,2025-01-07T02:23:41Z,approved,credit,5511
TXN-00029,4532XXXX8744,CUST-1061,Lulu Hypermarket,3217.48,SAR,2025-01-26T16:37:04Z,approved,credit,5411
TXN-00030,4532XXXX7939,CUST-1105,Netflix,9886.45,SAR,2025-03-10T19:08:46Z,approved,debit,4899
TXN-00031,4532XXXX1993,CUST-1187,Amazon.sa,14762.56,SAR,2025-01-20T02:39:37Z,approved,credit,5311
TXN-00032,4532XXXX3296,CUST-1087,Noon.com,2857.18,SAR,2025-03-29T02:41:26Z,approved,debit,5311
TXN-00033,4532XXXX2604,CUST-1072,Nana Grocery,13849.37,SAR,2025-03-28T01:08:20Z,approved,credit,5411
TXN-00034,4532XXXX4872,CUST-1139,Jarir Bookstore,13895.87,EUR,2025-06-14T19:12:31Z,approved,debit,5942
TXN-00035,4532XXXX3697,CUST-1125,Talabat Food,6018.60,SAR,2025-01-12T09:15:38Z,approved,debit,5812
TXN-00036,4532XXXX7930,CUST-1100,Flynas Airline,11778.01,AED,2025-02-25T09:21:27Z,declined,credit,3000
TXN-00037,4532XXXX9883,CUST-1143,Aramex Shipping,4454.13,SAR,2025-01-12T08:33:06Z,approved,credit,4215
TXN-00038,4532XXXX9701,CUST-1081,Amazon.sa,7154.44,SAR,2025-06-28T12:39:16Z,approved,debit,5311
TXN-00039,4532XXXX4853,CUST-1131,Al Baik Restaurant,1032.48,USD,2025-01-14T04:43:14Z,approved,debit,5812
TXN-00040,4532XXXX7868,CUST-1146,Hunger Station,600.93,SAR,2025-01-16T22:04:13Z,declined,credit,5812
TXN-00041,4532XXXX6147,CUST-1145,Makkah Hotel,3915.18,SAR,2025-05-11T01:08:57Z,approved,debit,7011
TXN-00042,4532XXXX2188,CUST-1102,Namshi Fashion,4503.46,SAR,2025-03-03T09:29:33Z,approved,debit,5651
TXN-00043,4532XXXX9288,CUST-1160,Shein SA,1103.54,GBP,2025-02-11T09:22:15Z,approved,debit,5311
TXN-00044,4532XXXX8179,CUST-1090,Uber Rides,5546.06,USD,2025-01-31T15:09:12Z,approved,credit,4121
TXN-00045,4532XXXX1128,CUST-1078,Riyadh Season,12107.46,GBP,2025-04-13T17:02:32Z,declined,credit,7922
TXN-00046,4532XXXX2753,CUST-1077,Noon.com,2018.70,AED,2025-01-23T09:56:11Z,pending,credit,5311
TXN-00047,4532XXXX4335,CUST-1040,Lulu Hypermarket,3163.39,SAR,2025-03-08T13:56:16Z,declined,credit,5411
TXN-00048,4532XXXX1832,CUST-1068,Al Rajhi ATM,13580.52,SAR,2025-06-14T07:07:44Z,approved,credit,6011
TXN-00049,4532XXXX5291,CUST-1109,Lulu Hypermarket,5006.68,SAR,2025-01-26T09:39:49Z,approved,credit,5411
TXN-00050,4532XXXX2232,CUST-1114,PlayStation Store,8415.80,SAR,2025-01-22T17:22:12Z,declined,debit,5816
TXN-00051,4532XXXX8041,CUST-1140,Panda Supermarket,8739.73,USD,2025-01-29T18:10:01Z,approved,debit,5411
TXN-00052,4532XXXX1653,CUST-1079,Saudi Airlines,11942.85,USD,2025-06-17T03:09:53Z,approved,debit,3000
TXN-00053,4532XXXX7658,CUST-1175,Hunger Station,5308.41,SAR,2025-04-19T17:14:46Z,approved,credit,5812
TXN-00054,4532XXXX3900,CUST-1040,Hunger Station,14643.21,USD,2025-06-07T10:28:12Z,approved,debit,5812
TXN-00055,4532XXXX5065,CUST-1046,Booking.com,6178.64,SAR,2025-05-11T01:59:36Z,approved,debit,7011
TXN-00056,4532XXXX4644,CUST-1180,Noon.com,585.68,SAR,2025-04-02T09:34:28Z,approved,debit,5311
TXN-00057,4532XXXX1387,CUST-1090,Alshaya Group,13070.49,USD,2025-02-13T06:53:56Z,declined,debit,5311
TXN-00058,4532XXXX5573,CUST-1103,Booking.com,1045.96,SAR,2025-05-31T03:57:48Z,approved,credit,7011
TXN-00059,4532XXXX1452,CUST-1131,Zara SA,12655.70,SAR,2025-03-06T07:16:12Z,approved,debit,5651
TXN-00060,4532XXXX8119,CUST-1046,Whites Pharmacy,3985.67,EUR,2025-01-22T01:11:32Z,approved,credit,5912
TXN-00061,4532XXXX4114,CUST-1081,H&M Saudi,7673.79,SAR,2025-03-16T19:08:26Z,approved,debit,5651
TXN-00062,4532XXXX4228,CUST-1182,H&M Saudi,13884.00,SAR,2025-04-15T13:22:05Z,approved,debit,5651
TXN-00063,4532XXXX5920,CUST-1018,Booking.com,9952.50,SAR,2025-01-25T04:47:45Z,approved,debit,7011
TXN-00064,4532XXXX3085,CUST-1171,Starbucks SA,10459.64,SAR,2025-04-18T15:44:57Z,approved,debit,5814
TXN-00065,4532XXXX5930,CUST-1171,Shell Petrol,13542.57,SAR,2025-04-30T12:30:26Z,approved,credit,5541
TXN-00066,4532XXXX6279,CUST-1001,Alshaya Group,6451.17,SAR,2025-04-23T14:55:29Z,approved,debit,5311
TXN-00067,4532XXXX3780,CUST-1114,Spotify,11907.06,SAR,2025-06-04T13:44:39Z,declined,debit,4899
TXN-00068,4532XXXX4848,CUST-1073,Al Rajhi ATM,9290.82,SAR,2025-01-19T03:12:57Z,declined,debit,6011
TXN-00069,4532XXXX2193,CUST-1058,Netflix,697.97,SAR,2025-04-03T06:17:45Z,approved,debit,4899
TXN-00070,4532XXXX7547,CUST-1162,Shein SA,10446.83,SAR,2025-04-06T23:57:52Z,approved,debit,5311
TXN-00071,4532XXXX2746,CUST-1168,Jarir Bookstore,12907.31,USD,2025-06-21T22:34:01Z,pending,debit,5942
TXN-00072,4532XXXX1822,CUST-1057,Tamimi Markets,10440.20,USD,2025-04-01T04:57:33Z,approved,debit,5411
TXN-00073,4532XXXX6198,CUST-1032,Nana Grocery,6972.33,SAR,2025-04-14T03:15:14Z,pending,debit,5411
TXN-00074,4532XXXX3607,CUST-1157,Al Rajhi ATM,13603.29,SAR,2025-03-28T14:06:28Z,pending,credit,6011
TXN-00075,4532XXXX9540,CUST-1116,Flynas Airline,12598.74,SAR,2025-02-23T20:21:52Z,approved,credit,3000
TXN-00076,4532XXXX5451,CUST-1062,Lulu Hypermarket,10704.61,SAR,2025-02-15T12:49:09Z,approved,debit,5411
TXN-00077,4532XXXX3503,CUST-1139,Al Baik Restaurant,3472.77,SAR,2025-05-15T18:02:25Z,declined,debit,5812
TXN-00078,4532XXXX2020,CUST-1017,Starbucks SA,8141.45,SAR,2025-03-22T17:38:54Z,approved,debit,5814
TXN-00079,4532XXXX7232,CUST-1100,Whites Pharmacy,297.88,AED,2025-06-21T00:09:27Z,approved,debit,5912
TXN-00080,4532XXXX7865,CUST-1091,Alshaya Group,12802.45,SAR,2025-06-12T06:46:40Z,approved,credit,5311
TXN-00081,4532XXXX4595,CUST-1189,Zain Telecom,13467.68,SAR,2025-04-05T19:18:51Z,approved,debit,4814
TXN-00082,4532XXXX7624,CUST-1125,STC Pay TopUp,10034.76,SAR,2025-06-04T23:36:46Z,pending,debit,4814
TXN-00083,4532XXXX7455,CUST-1120,Namshi Fashion,8014.18,GBP,2025-06-26T02:35:41Z,approved,credit,5651
TXN-00084,4532XXXX8564,CUST-1170,STC Pay TopUp,6432.05,SAR,2025-06-18T07:49:12Z,approved,debit,4814
TXN-00085,4532XXXX7211,CUST-1067,Shell Petrol,6823.22,SAR,2025-03-07T12:51:59Z,approved,credit,5541
TXN-00086,4532XXXX9837,CUST-1108,Flynas Airline,7057.25,USD,2025-05-26T10:42:21Z,approved,debit,3000
TXN-00087,4532XXXX1508,CUST-1058,Tawuniya Insurance,14359.50,SAR,2025-01-08T19:36:59Z,approved,debit,6300
TXN-00088,4532XXXX2874,CUST-1006,Riyadh Season,1897.68,SAR,2025-05-10T23:54:15Z,approved,debit,7922
TXN-00089,4532XXXX2876,CUST-1120,Flynas Airline,2521.00,SAR,2025-04-28T21:58:42Z,pending,debit,3000
TXN-00090,4532XXXX7149,CUST-1080,Noon.com,13933.66,SAR,2025-04-22T19:24:26Z,approved,credit,5311
TXN-00091,4532XXXX2669,CUST-1051,Uber Rides,12459.42,SAR,2025-02-17T03:45:36Z,declined,credit,4121
TXN-00092,4532XXXX1672,CUST-1078,HyperPanda,11944.43,USD,2025-04-20T21:26:12Z,approved,credit,5411
TXN-00093,4532XXXX7882,CUST-1110,Saudi Airlines,9714.91,SAR,2025-01-03T10:57:47Z,approved,debit,3000
TXN-00094,4532XXXX3506,CUST-1111,Saudi Airlines,12431.47,SAR,2025-05-18T08:17:49Z,approved,debit,3000
TXN-00095,4532XXXX9817,CUST-1188,Makkah Hotel,4054.89,EUR,2025-06-06T22:28:52Z,pending,credit,7011
TXN-00096,4532XXXX5022,CUST-1120,H&M Saudi,8889.16,USD,2025-03-04T14:02:53Z,approved,debit,5651
TXN-00097,4532XXXX7209,CUST-1116,Hunger Station,8549.90,SAR,2025-05-10T17:59:02Z,approved,debit,5812
TXN-00098,4532XXXX5232,CUST-1127,Mobily Recharge,3185.74,SAR,2025-06-04T22:10:05Z,approved,debit,4814
TXN-00099,4532XXXX2402,CUST-1153,Lulu Hypermarket,7751.83,SAR,2025-02-07T02:23:14Z,approved,credit,5411
TXN-00100,4532XXXX9041,CUST-1105,Aramex Shipping,3608.66,SAR,2025-04-03T10:45:16Z,approved,debit,4215
TXN-00101,4532XXXX7046,CUST-1024,Apple Store,10378.35,SAR,2025-03-01T11:01:24Z,approved,credit,5045
TXN-00102,4532XXXX6764,CUST-1136,Danube Online,11190.30,SAR,2025-03-06T05:35:57Z,declined,debit,5411
TXN-00103,4532XXXX6169,CUST-1070,Alshaya Group,1814.23,SAR,2025-02-07T09:30:28Z,approved,credit,5311
TXN-00104,4532XXXX9595,CUST-1138,Tamimi Markets,11080.38,SAR,2025-02-23T16:34:53Z,approved,debit,5411
TXN-00105,4532XXXX1231,CUST-1026,Netflix,5416.41,SAR,2025-02-28T16:40:08Z,declined,credit,4899
TXN-00106,4532XXXX3068,CUST-1033,Lulu Hypermarket,822.62,SAR,2025-02-26T17:27:19Z,declined,credit,5411
TXN-00107,4532XXXX8843,CUST-1126,Noon.com,8613.09,USD,2025-04-02T03:32:53Z,approved,debit,5311
TXN-00108,4532XXXX2070,CUST-1048,Amazon.sa,12926.54,SAR,2025-01-23T03:41:04Z,approved,credit,5311
TXN-00109,4532XXXX5978,CUST-1019,Shein SA,808.87,SAR,2025-01-29T23:18:40Z,approved,debit,5311
TXN-00110,4532XXXX4697,CUST-1031,PlayStation Store,9096.73,SAR,2025-06-03T13:07:09Z,pending,credit,5816
TXN-00111,4532XXXX8025,CUST-1098,Nahdi Pharmacy,4463.81,AED,2025-04-25T06:43:33Z,approved,credit,5912
TXN-00112,4532XXXX4404,CUST-1159,Amazon.sa,11102.64,SAR,2025-05-29T02:36:45Z,declined,debit,5311
TXN-00113,4532XXXX3564,CUST-1068,Al Baik Restaurant,2611.33,SAR,2025-01-15T13:49:39Z,approved,debit,5812
TXN-00114,4532XXXX5632,CUST-1116,HyperPanda,494.43,SAR,2025-02-25T22:39:57Z,declined,debit,5411
TXN-00115,4532XXXX4241,CUST-1019,IKEA Saudi,11818.48,AED,2025-05-02T08:58:53Z,approved,debit,5712
TXN-00116,4532XXXX3330,CUST-1140,IKEA Saudi,13626.63,SAR,2025-06-10T12:22:49Z,approved,debit,5712
TXN-00117,4532XXXX5728,CUST-1043,Alshaya Group,12364.48,SAR,2025-06-28T21:04:06Z,approved,debit,5311
TXN-00118,4532XXXX9847,CUST-1120,Alshaya Group,14140.43,SAR,2025-04-08T04:22:09Z,approved,debit,5311
TXN-00119,4532XXXX5102,CUST-1021,HyperPanda,6483.27,SAR,2025-03-04T14:07:38Z,approved,debit,5411
TXN-00120,4532XXXX5415,CUST-1059,Shein SA,316.08,SAR,2025-05-29T12:02:30Z,approved,debit,5311
TXN-00121,4532XXXX5557,CUST-1196,Tamimi Markets,9774.38,SAR,2025-06-27T21:12:31Z,approved,credit,5411
TXN-00122,4532XXXX6700,CUST-1112,Ceer Motors,14535.98,USD,2025-04-02T06:24:25Z,approved,debit,5511
TXN-00123,4532XXXX9117,CUST-1083,Noon.com,4950.41,USD,2025-05-15T16:45:13Z,approved,credit,5311
TXN-00124,4532XXXX6296,CUST-1103,PlayStation Store,1325.46,SAR,2025-02-19T00:15:50Z,approved,credit,5816
TXN-00125,4532XXXX9889,CUST-1104,Al Rajhi ATM,22.26,USD,2025-06-18T19:32:46Z,approved,debit,6011
TXN-00126,4532XXXX8242,CUST-1014,Netflix,9341.39,SAR,2025-04-07T19:08:46Z,pending,debit,4899
TXN-00127,4532XXXX8941,CUST-1053,Lulu Hypermarket,13915.45,SAR,2025-03-27T01:46:08Z,approved,debit,5411
TXN-00128,4532XXXX1224,CUST-1162,HyperPanda,10648.19,SAR,2025-03-02T08:12:02Z,approved,debit,5411
TXN-00129,4532XXXX2924,CUST-1024,IKEA Saudi,13694.38,GBP,2025-03-31T14:30:10Z,declined,debit,5712
TXN-00130,4532XXXX8905,CUST-1128,Apple Store,4105.01,SAR,2025-06-12T02:05:43Z,approved,debit,5045
TXN-00131,4532XXXX9327,CUST-1117,PlayStation Store,2863.20,SAR,2025-04-27T09:18:07Z,pending,debit,5816
TXN-00132,4532XXXX9318,CUST-1018,Lulu Hypermarket,12816.91,SAR,2025-03-07T23:56:00Z,approved,debit,5411
TXN-00133,4532XXXX9022,CUST-1073,Alshaya Group,8700.95,USD,2025-05-09T03:32:48Z,approved,debit,5311
TXN-00134,4532XXXX7180,CUST-1138,Talabat Food,8281.00,SAR,2025-04-16T12:34:03Z,approved,debit,5812
TXN-00135,4532XXXX7730,CUST-1049,Hunger Station,3507.27,SAR,2025-05-31T14:17:57Z,approved,debit,5812
TXN-00136,4532XXXX3492,CUST-1191,Talabat Food,12172.08,SAR,2025-03-16T23:15:26Z,approved,debit,5812
TXN-00137,4532XXXX8213,CUST-1033,Al Rajhi ATM,4983.26,EUR,2025-01-20T11:43:58Z,approved,credit,6011
TXN-00138,4532XXXX3529,CUST-1117,Jarir Bookstore,6152.63,SAR,2025-05-08T03:30:07Z,approved,credit,5942
TXN-00139,4532XXXX6383,CUST-1068,Booking.com,5965.26,SAR,2025-01-16T14:17:47Z,declined,credit,7011
TXN-00140,4532XXXX9864,CUST-1098,Mobily Recharge,13312.14,SAR,2025-04-05T18:00:00Z,approved,credit,4814
TXN-00141,4532XXXX2480,CUST-1018,Hunger Station,13814.33,SAR,2025-02-14T04:09:46Z,approved,debit,5812
TXN-00142,4532XXXX5906,CUST-1195,Ceer Motors,1512.11,SAR,2025-02-02T07:18:57Z,approved,debit,5511
TXN-00143,4532XXXX5000,CUST-1084,Amazon.sa,5625.74,SAR,2025-01-29T06:24:15Z,approved,debit,5311
TXN-00144,4532XXXX7267,CUST-1145,Tamimi Markets,1189.13,SAR,2025-06-19T02:24:24Z,approved,credit,5411
TXN-00145,4532XXXX5161,CUST-1062,Aramex Shipping,2151.05,AED,2025-03-31T13:06:51Z,approved,debit,4215
TXN-00146,4532XXXX9955,CUST-1171,Jarir Bookstore,6981.47,USD,2025-02-25T20:27:38Z,approved,debit,5942
TXN-00147,4532XXXX5097,CUST-1114,Danube Online,4490.82,GBP,2025-03-24T09:25:22Z,approved,debit,5411
TXN-00148,4532XXXX6881,CUST-1051,Shell Petrol,1604.27,USD,2025-03-16T01:17:11Z,approved,debit,5541
TXN-00149,4532XXXX5497,CUST-1180,Apple Store,12451.41,SAR,2025-03-18T20:35:18Z,approved,credit,5045
TXN-00150,4532XXXX5689,CUST-1176,Amazon.sa,11178.86,AED,2025-06-11T17:18:38Z,pending,debit,5311
TXN-00151,4532XXXX3240,CUST-1156,Danube Online,2856.03,SAR,2025-02-18T16:00:19Z,declined,debit,5411
TXN-00152,4532XXXX6977,CUST-1161,Tawuniya Insurance,11830.21,SAR,2025-01-07T11:29:23Z,pending,debit,6300
TXN-00153,4532XXXX3165,CUST-1024,Apple Store,6235.47,SAR,2025-02-08T23:46:17Z,approved,debit,5045
TXN-00154,4532XXXX8894,CUST-1136,Al Rajhi ATM,12457.94,AED,2025-02-19T21:34:02Z,approved,credit,6011
TXN-00155,4532XXXX4696,CUST-1087,SABB ATM,1134.11,SAR,2025-05-27T10:36:02Z,declined,credit,6011
TXN-00156,4532XXXX2479,CUST-1173,Zara SA,12069.79,EUR,2025-03-13T00:38:07Z,approved,debit,5651
TXN-00157,4532XXXX5295,CUST-1068,Zain Telecom,5531.94,SAR,2025-05-26T10:38:49Z,approved,debit,4814
TXN-00158,4532XXXX6374,CUST-1164,Saudi Airlines,3511.16,SAR,2025-01-05T20:37:23Z,approved,debit,3000
TXN-00159,4532XXXX5951,CUST-1166,Uber Rides,6966.69,SAR,2025-05-17T03:15:23Z,declined,debit,4121
TXN-00160,4532XXXX2902,CUST-1030,Namshi Fashion,563.00,SAR,2025-04-06T15:47:49Z,approved,debit,5651
TXN-00161,4532XXXX9850,CUST-1138,Namshi Fashion,5568.32,SAR,2025-05-25T07:17:02Z,approved,credit,5651
TXN-00162,4532XXXX9017,CUST-1191,Careem Rides,9825.55,USD,2025-06-11T21:17:28Z,approved,debit,4121
TXN-00163,4532XXXX4868,CUST-1072,Panda Supermarket,3262.96,SAR,2025-03-28T08:25:58Z,approved,debit,5411
TXN-00164,4532XXXX1992,CUST-1176,Saudi Airlines,14667.75,SAR,2025-03-11T15:32:28Z,approved,debit,3000
TXN-00165,4532XXXX4475,CUST-1049,SABB ATM,12363.75,AED,2025-01-18T19:13:44Z,declined,credit,6011
TXN-00166,4532XXXX4362,CUST-1153,STC Pay TopUp,5005.97,SAR,2025-01-25T10:50:52Z,approved,credit,4814
TXN-00167,4532XXXX6383,CUST-1142,Spotify,12196.73,SAR,2025-02-15T05:51:09Z,pending,debit,4899
TXN-00168,4532XXXX9850,CUST-1153,Jarir Bookstore,14760.50,SAR,2025-01-26T05:48:26Z,approved,debit,5942
TXN-00169,4532XXXX4898,CUST-1029,STC Pay TopUp,5376.84,SAR,2025-06-03T02:21:26Z,approved,debit,4814
TXN-00170,4532XXXX9619,CUST-1005,Tamimi Markets,1905.74,SAR,2025-03-23T17:49:06Z,approved,credit,5411
TXN-00171,4532XXXX2786,CUST-1017,Talabat Food,5433.77,SAR,2025-04-26T06:41:03Z,approved,credit,5812
TXN-00172,4532XXXX9543,CUST-1057,Riyadh Season,11749.49,SAR,2025-06-18T08:25:25Z,approved,debit,7922
TXN-00173,4532XXXX7984,CUST-1165,STC Pay TopUp,7187.33,SAR,2025-03-19T23:40:19Z,declined,debit,4814
TXN-00174,4532XXXX3430,CUST-1126,Nahdi Pharmacy,1216.45,SAR,2025-04-29T02:52:17Z,approved,debit,5912
TXN-00175,4532XXXX7240,CUST-1071,Riyadh Season,8227.60,SAR,2025-03-05T03:28:26Z,approved,credit,7922
TXN-00176,4532XXXX2874,CUST-1076,Nana Grocery,6455.84,SAR,2025-06-04T00:05:44Z,declined,credit,5411
TXN-00177,4532XXXX4743,CUST-1197,PlayStation Store,3229.27,SAR,2025-03-29T16:23:54Z,approved,debit,5816
TXN-00178,4532XXXX6120,CUST-1117,Zara SA,1430.81,SAR,2025-03-24T20:51:51Z,declined,debit,5651
TXN-00179,4532XXXX2398,CUST-1096,Careem Rides,7116.65,SAR,2025-01-18T17:08:17Z,approved,debit,4121
TXN-00180,4532XXXX6400,CUST-1025,Saudi Airlines,8347.78,USD,2025-04-24T21:07:31Z,declined,debit,3000
TXN-00181,4532XXXX1842,CUST-1106,Danube Online,14117.24,USD,2025-03-24T03:01:42Z,approved,credit,5411
TXN-00182,4532XXXX8900,CUST-1080,Danube Online,7613.65,SAR,2025-01-31T01:05:41Z,approved,debit,5411
TXN-00183,4532XXXX4705,CUST-1090,PlayStation Store,11440.27,SAR,2025-04-22T11:29:59Z,approved,credit,5816
TXN-00184,4532XXXX5381,CUST-1197,Riyadh Season,9642.27,SAR,2025-01-06T02:21:06Z,approved,debit,7922
TXN-00185,4532XXXX3347,CUST-1070,Alshaya Group,5268.60,AED,2025-02-05T05:24:40Z,approved,credit,5311
TXN-00186,4532XXXX2503,CUST-1103,Uber Rides,9499.41,SAR,2025-01-06T22:52:20Z,pending,credit,4121
TXN-00187,4532XXXX6105,CUST-1056,Shell Petrol,5116.74,SAR,2025-03-13T20:34:20Z,pending,debit,5541
TXN-00188,4532XXXX3579,CUST-1199,Shein SA,13250.72,SAR,2025-01-31T05:03:17Z,pending,credit,5311
TXN-00189,4532XXXX8242,CUST-1013,Al Baik Restaurant,9930.77,SAR,2025-04-05T07:20:51Z,approved,debit,5812
TXN-00190,4532XXXX8972,CUST-1056,Al Rajhi ATM,6451.55,SAR,2025-02-25T00:01:27Z,approved,credit,6011
TXN-00191,4532XXXX1125,CUST-1079,Panda Supermarket,14766.76,SAR,2025-01-11T15:18:08Z,approved,debit,5411
TXN-00192,4532XXXX1126,CUST-1055,Namshi Fashion,4345.26,SAR,2025-01-24T07:10:03Z,approved,credit,5651
TXN-00193,4532XXXX9196,CUST-1111,Tamimi Markets,7991.07,SAR,2025-02-14T16:23:37Z,approved,credit,5411
TXN-00194,4532XXXX1307,CUST-1091,Uber Rides,11131.91,SAR,2025-03-26T16:55:50Z,approved,debit,4121
TXN-00195,4532XXXX7843,CUST-1081,Shein SA,6069.32,SAR,2025-05-05T07:16:35Z,approved,debit,5311
TXN-00196,4532XXXX8538,CUST-1104,STC Pay TopUp,2582.24,EUR,2025-05-01T00:40:21Z,declined,debit,4814
TXN-00197,4532XXXX7560,CUST-1023,H&M Saudi,3653.53,USD,2025-04-25T08:20:20Z,approved,debit,5651
TXN-00198,4532XXXX3754,CUST-1102,Alshaya Group,3327.47,SAR,2025-06-01T06:57:08Z,approved,credit,5311
TXN-00199,4532XXXX6724,CUST-1163,SABB ATM,2912.59,SAR,2025-05-31T17:29:08Z,approved,credit,6011
TXN-00200,4532XXXX3842,CUST-1166,Careem Rides,2200.93,SAR,2025-02-08T07:21:11Z,approved,debit,4121
TXN-00201,4532XXXX9095,CUST-1195,Tawuniya Insurance,14269.63,SAR,2025-05-02T22:27:12Z,approved,credit,6300
TXN-00202,4532XXXX6295,CUST-1145,Whites Pharmacy,13862.69,SAR,2025-04-20T14:43:20Z,declined,debit,5912
TXN-00203,4532XXXX5500,CUST-1039,Nahdi Pharmacy,6635.91,SAR,2025-02-28T19:14:43Z,approved,debit,5912
TXN-00204,4532XXXX1932,CUST-1091,Al Rajhi ATM,6928.83,SAR,2025-01-08T07:15:44Z,approved,debit,6011
TXN-00205,4532XXXX9307,CUST-1020,Tawuniya Insurance,12830.12,USD,2025-04-30T10:08:48Z,approved,debit,6300
TXN-00206,4532XXXX8368,CUST-1149,PlayStation Store,11085.12,EUR,2025-01-08T23:10:46Z,approved,credit,5816
TXN-00207,4532XXXX8381,CUST-1049,Mobily Recharge,7523.00,SAR,2025-01-13T00:21:08Z,approved,debit,4814
TXN-00208,4532XXXX8172,CUST-1183,Al Baik Restaurant,2592.52,SAR,2025-02-18T02:34:09Z,approved,credit,5812
TXN-00209,4532XXXX7347,CUST-1134,Riyadh Season,5595.92,SAR,2025-02-24T22:22:46Z,approved,credit,7922
TXN-00210,4532XXXX2079,CUST-1087,HyperPanda,9465.14,SAR,2025-03-06T23:34:44Z,approved,debit,5411
TXN-00211,4532XXXX3463,CUST-1143,Shell Petrol,10857.39,SAR,2025-05-08T11:48:37Z,approved,debit,5541
TXN-00212,4532XXXX7421,CUST-1150,Careem Rides,4656.92,AED,2025-05-08T09:26:11Z,approved,credit,4121
TXN-00213,4532XXXX6381,CUST-1182,Al Baik Restaurant,5653.31,SAR,2025-06-03T17:24:43Z,approved,credit,5812
TXN-00214,4532XXXX6928,CUST-1180,Makkah Hotel,10058.49,SAR,2025-04-09T17:43:41Z,approved,debit,7011
TXN-00215,4532XXXX8967,CUST-1080,Tamimi Markets,5129.28,EUR,2025-05-29T18:32:48Z,approved,debit,5411
TXN-00216,4532XXXX9317,CUST-1036,Careem Rides,12667.20,SAR,2025-01-20T15:21:00Z,pending,credit,4121
